YEAR,Yield,Average Temperature,Average TMAX,Average TMIN
2025,219.0,22.7,28.4,17.0
2024,211.0,22.2,28.0,16.4
2023,201.0,22.2,28.7,15.8
2022,200.0,22.7,28.8,16.5
2021,204.0,23.0,29.2,16.8
2020,177.0,23.1,29.3,16.9
2019,198.0,21.9,27.6,16.2
2018,196.0,22.7,28.4,16.9
2017,202.0,21.9,28.2,15.5
2016,203.0,22.6,28.4,16.8
2015,192.0,21.3,26.8,15.7
2014,178.0,21.2,26.7,15.8
2013,164.0,21.8,27.8,15.9
2012,137.0,23.4,30.3,16.5
2011,172.0,23.0,28.7,17.4
2010,165.0,23.0,28.6,17.4
2009,181.0,20.3,26.0,14.6
2008,171.0,21.7,27.7,15.6
2007,171.0,22.8,28.7,16.8
2006,166.0,22.7,28.8,16.7
2005,173.0,22.9,29.0,16.7
2004,181.0,20.0,25.8,14.3
2003,157.0,22.0,28.3,15.8
2002,163.0,23.0,29.0,17.0
2001,146.0,22.3,28.2,16.5
2000,144.0,21.7,27.4,16.1
1999,149.0,22.3,28.0,16.6
1998,145.0,22.0,27.4,16.6
1997,138.0,21.9,27.9,15.9
1996,138.0,21.4,27.1,15.6
1995,123.0,23.2,29.0,17.4
1994,152.0,21.3,27.2,15.4
1993,80.0,21.5,26.6,16.4
1992,147.0,19.8,25.7,13.9
1991,117.0,22.9,28.9,17.0
1990,126.0,22.1,27.6,16.6
1989,118.0,22.1,28.3,15.8
1988,84.0,24.3,31.5,17.0
1987,130.0,23.2,29.3,17.1
1986,135.0,22.2,28.1,16.2
1985,126.0,20.9,27.5,14.3
1984,112.0,22.6,29.1,16.0
1983,87.0,24.2,30.8,17.6
1982,120.0,21.1,27.1,15.1
1981,125.0,22.0,28.1,16.0
1980,110.0,23.2,29.8,16.7
1979,127.0,21.8,28.0,15.7
1978,115.0,22.2,28.6,15.8
1977,86.0,22.6,29.2,16.0
1976,91.0,22.4,29.4,15.4
1975,90.0,22.8,29.1,16.5
1974,80.0,21.8,28.4,15.3
1973,107.0,22.8,28.8,16.8
1972,116.0,21.7,27.8,15.6
1971,102.0,22.3,29.0,15.7
1970,86.0,22.5,28.9,16.1
1969,99.0,21.6,27.7,15.5
1968,93.0,22.5,28.7,16.2
1967,88.5,20.9,27.3,14.5
1966,89.0,22.1,28.6,15.6
1965,82.0,21.7,27.9,15.4
1964,77.5,22.2,28.6,15.7
1963,80.0,22.8,29.2,16.4
1962,77.0,21.5,27.7,15.4
1961,75.5,21.9,28.4,15.4
1960,63.5,21.7,27.9,15.4
1959,65.0,23.0,29.2,16.7
1958,66.0,21.0,27.1,14.9
1957,62.0,22.9,29.0,16.7
1956,53.5,23.0,29.6,16.3
1955,48.5,23.7,30.4,17.0
1954,54.5,23.4,29.5,17.3
1953,53.0,23.1,29.7,16.5
1952,62.5,22.7,29.0,16.4
1951,43.5,20.6,26.3,14.9
1950,48.5,20.3,26.6,14.0
1949,47.0,23.2,29.6,16.8
1948,60.5,22.5,28.9,16.0
1947,31.0,22.9,29.3,16.4
1946,57.0,21.6,27.8,15.3
1945,44.5,20.9,27.0,14.8
1944,52.5,22.2,28.3,16.1
1943,55.0,23.1,29.0,17.2
1942,60.0,22.2,28.3,16.2
1941,51.0,23.0,29.5,16.6
1940,52.5,22.7,29.0,16.3
1939,52.2,22.6,29.1,16.1
1938,46.0,23.2,29.8,16.6
1937,45.0,23.4,30.0,16.8
1936,20.0,25.2,33.2,17.3
1935,38.0,22.7,29.0,16.5
1934,28.2,24.8,32.3,17.3
1933,40.0,23.7,30.9,16.5
1932,43.0,22.9,29.2,16.5
1931,32.9,23.8,30.7,16.8
1930,34.0,23.1,30.3,16.1
1929,40.2,21.7,28.3,15.1
1928,41.5,21.3,27.6,14.9
1927,35.0,20.5,27.4,13.7
1926,39.0,21.9,28.6,15.2
1925,43.9,22.3,29.2,15.4
1924,28.0,20.9,27.1,14.6
1923,40.5,22.5,28.8,16.3
1922,45.0,22.5,29.0,15.9
1921,43.0,23.9,30.2,17.5
1920,46.0,21.5,28.1,15.0
1919,41.6,23.1,29.5,16.6
1918,37.0,23.0,29.7,16.3
1917,38.5,21.1,27.8,14.3
1916,38.0,22.7,29.7,15.8
1915,32.5,19.4,25.3,13.4
1914,40.5,23.5,30.3,16.6
1913,37.5,23.8,30.9,16.7
1912,46.0,21.5,28.2,14.8
1911,35.5,23.5,31.0,16.1
1910,41.5,22.2,29.3,15.1
1909,37.1,22.6,28.6,16.5
1908,38.0,21.2,27.4,15.1
1907,35.0,21.3,27.4,15.2
1906,45.5,21.6,28.3,15.0
1905,41.5,22.0,28.2,15.8
1904,39.0,20.5,26.9,14.1
1903,32.5,20.4,26.5,14.3
1902,38.0,20.6,26.4,14.9
1901,28.5,24.5,32.1,17.0
1900,45.0,23.0,29.7,16.3
1899,39.1,22.6,29.1,16.1
1898,36.0,22.4,28.9,15.8
1897,33.5,21.7,28.4,15.0
1896,43.0,21.8,28.5,15.1
1895,39.0,21.9,28.9,14.7
1894,15.0,23.9,32.0,15.8
1893,37.5,22.2,29.1,15.4
1892,30.5,20.9,27.0,14.8
1887,30.0,23.1,26.1,20.0
1886,29.0,23.3,26.7,19.9
1885,36.5,21.0,23.7,18.4
1884,39.5,20.8,23.5,18.0
1883,29.0,20.9,24.0,17.9
